,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,is_red
317,-0.30195908960270074,-0.3794354334423695,0.13064066153524798,0.2580252032997158,-0.676212278874177,0.04068795925890309,-0.07908596693146744,-0.07603034839317149,0.011480335393340427,-1.0502364650418432,-0.011594560327649826,5,0
947,-0.011282211362261343,-1.3844434888439687,1.0733499027498765,-0.31132282058617994,0.11760658647226313,-0.9443463560547672,-1.0481299666838535,-1.4133764820879868,-0.3311766102216806,-0.22512806072257227,1.8557713620180567,7,1
877,-0.3560004782716331,1.0456738198200697,-1.340121815568691,-0.31132282058617994,-0.4987513499320426,1.4464228385804017,-0.10545198434629977,-1.6094815491602898,0.6407151059372652,-0.520193445226994,1.2925678682354953,6,1
1328,-1.9611552667120666,0.9104485413052057,-0.034638418976089824,-1.023636779780432,-0.8135388385559842,-1.3118235079445406,-1.3498617978987935,-1.2798015299138854,1.2036502878298607,-0.9626049390750804,0.9636227805680648,6,0
4464,-0.30195908960270074,-0.18099174501966547,1.8660710069042987,1.7763017063331217,0.33084915879240917,-0.1945314263416958,0.06211134762045768,1.3618074517565413,-0.5183729768006685,0.001341846559310476,-0.9868119012233645,5,0
293,-0.8156248341507949,-0.9375253631126514,-0.10771072536346497,-0.09847944135837348,0.22387519619714352,-1.039977123840174,-0.9264940979951368,-0.18374471017511187,0.6407151059372652,-0.3431542145243409,-0.30317536414843055,6,1
1142,2.779405239314694,0.017451943403038586,1.0396756043476079,-0.629279246525002,0.5597267582620881,0.21710249845935226,-0.1261517384487758,0.6596075958694705,-0.3196779847279137,0.7900255802601756,-0.8242756777407458,5,0
445,0.6781543224564811,1.1574033512528992,-0.8779676567417312,-0.31132282058617994,-0.1799455207574017,-0.9443463560547672,-0.47035959041244957,0.982285418363013,-0.525554953453468,-0.5792065221278776,-0.30317536414843055,6,1
1562,-0.6432657006961093,0.9339442883872403,-0.723916270466078,-0.38227061366211557,-0.24370668659232994,-0.37056174934232666,-0.8048582293064203,-0.6819575832777133,-0.13679826698989028,-0.6972326759296462,-0.30317536414843055,5,1
3283,-0.30195908960270074,-0.776322810287777,-1.6047896838338018,-0.3926647265717439,6.327442264897991,-0.01811688714124663,0.6974992631041207,-0.02252940699227232,-1.7105429292371859,-0.3491842573077406,-0.9055437894820552,6,0
2225,0.8831810369039897,-0.4786572776537213,-0.6131152007657733,1.7565838296703504,0.9717064373075098,-0.1945314263416958,0.6504334915868123,1.5289978936344348,-1.0482262889946776,-0.4368157832745035,-1.0680800129646753,4,0
2709,1.120209062205328,-0.2802135892310175,0.048001121279579305,1.441097803066006,-0.0811305202530125,1.8048333512633947,1.0740254352425878,1.9168797187910838,0.21017532746609527,2.2797615216951437,-1.3118843481886031,5,0
1990,-0.538987114904038,1.5057796065733173,-0.5304756605101041,-1.0433546564432035,0.37662467868634497,-1.7822622791457383,-0.6674081108978221,-0.042592260017600234,0.34263865551459755,0.26423642445959916,-1.1493481247059845,4,0
3029,0.2906109736506445,1.9026669834187249,-0.3651965799987663,1.657994446356493,-0.9966409181317272,-0.782579890343193,0.08564423337911187,0.3854152711897416,-0.45214131277641595,-0.08628967940745241,1.2074271157919942,8,0
2927,0.17209696099997587,0.3151174760370941,-0.19991749948742807,0.5340754765785167,-0.4473346794044984,0.5699315768602506,0.0385784618618035,-0.6244149977525921,-1.3793846091159316,-1.5760256208424201,1.2074271157919942,7,0
367,1.1952317228205385,0.2635670997902641,1.740905909944374,0.0434161447934977,-0.24370668659232994,-0.46619251712773346,-0.6832223606177036,1.7243045910690389,-0.9791044209943073,0.18796347758361737,-1.3357151027497933,5,1
2754,-1.1315571781573832,-1.0739883429218329,-0.44783612025443503,-1.1222261630942896,-0.85931435844992,-1.7822622791457383,-2.597104743107465,-1.396834839228385,-0.3859096487521663,-1.488394094875657,0.06967355141365948,5,0
2569,-0.30195908960270074,-0.3794354334423695,-0.7783942812771115,0.4354860932646592,-0.5388857191923696,-0.6061653511427438,-0.07908596693146744,0.5994190367934497,0.9387236317328562,0.8776571062269384,-0.17413078381026845,6,0
718,-0.7760151402053762,-0.6771009660764253,-0.5304756605101041,-0.9250473964665745,-0.35578363961662685,0.3347121912596517,0.27390731944834534,-0.24322079027106494,1.9984302561208742,1.9292354178280922,-0.011594560327649826,7,0
1588,0.5276389989519829,0.2158956318257421,3.353582731506341,1.401662049740463,-0.3100081197226911,0.6287364232604004,0.6269006058281582,1.3952455401321127,-1.1144579530189271,-0.7873418871415545,-1.4744205716712233,5,0
4351,-0.538987114904038,0.3151174760370941,-0.44783612025443503,-0.7673043831644025,-0.3100081197226911,-0.07692173354139635,-0.03202019541415906,-1.5272433838931276,0.21017532746609527,-0.9626049390750804,1.7763038979811607,6,0
142,1.2387230748559976,-0.6771009660764253,0.5438383628135937,-1.023636779780432,-0.3100081197226911,0.15829765205920254,-0.7380067681737846,-0.6779159391535284,0.14394366344184267,0.4394994763931249,0.23220977489627956,6,0
1825,0.2906109736506445,0.41433932024844616,0.5438383628135937,-0.9644831497921176,-0.5388857191923696,-1.3118235079445406,-1.279263140622831,0.12459818186025608,1.5348086079511147,0.9652886321937013,-0.09286267206895914,5,0
2741,0.05358294834930726,3.341383724483328,0.7091174433249314,1.1058938997988905,0.9717064373075098,-0.6649701975428935,-0.17321750996608418,1.08427131823927,0.011480335393340427,-1.3131310429421315,-0.9868119012233645,5,0
2500,-0.06493106430136242,-0.6771009660764253,0.2132802017909171,2.3086843762279528,0.010420519534859058,-0.1945314263416958,-0.1261517384487758,1.9971311308924695,0.5413336475873495,-0.08628967940745241,-1.3931524599299125,5,0
4348,0.8831810369039897,0.3151174760370941,1.5355128458816223,1.3425084197521484,-0.17268156004088375,1.510809119262646,0.226841547931037,1.4587779080457128,-1.3793846091159316,-0.1739212053742153,-1.1493481247059845,6,0
